vary,달라지다|변화하다
tomorrow,내일
conceal,숨기다|은폐하다|감추다
expect,기대하다|예상하다|생각하다
black,검은|흑인|어두운
domain,영역|도메인|소유지
dull,둔한|지루한|흐린
upset,기분이 상한|뒤엎다|당황하게 하다
steady,꾸준한|안정된|고정된
flow,흐르다|유동|흐름
despite,~에도 불구하고|~임에도
novel,소설|새로운|신기한
idea,아이디어|생각|개념
crisis,위기|위험|전환점
reside,거주하다|살다
chamber,방|회의실|총알
purchase,구매하다|구매
vocation,천직|직업|소명
deck,갑판|데크|장식하다
seed,씨앗|종자
candidate,후보자|지원자|후보
err,실수하다|잘못하다|틀리다
lake,호수|큰 연못
rhythm,리듬|율동
devil,악마|도깨비|나쁜 사람
ignore,무시하다|간과하다|모르다
molecule,분자|입자
remain,남아있다|여전히 ~이다|나머지
speech,연설|말
license,면허|허가|자유
afford,여유가 있다|감당하다|제공하다
violin,바이올린
evacuate,대피시키다|비우다|철수하다
intermediate,중간의|중급의|매개
fever,열|발열|열광
transmit,전송하다|전달하다|전염시키다
possess,소유하다|지니다|사로잡다
wife,아내
flaw,결함|흠|약점
dictate,받아쓰기|지시하다|명령하다